бб		0.0001121087		14483
ббб		0.0000000619		8
ббв		0.0000000619		8
ббк		0.0000000232		3
ббл		0.0000003793		49
ббм		0.0000001548		20
ббп		0.0000000232		3
ббр		0.0000033517		433
ббс		0.0000018500		239
бв		0.0005086498		65711
бвб		0.0000000310		4
бвг		0.0000000542		7
бвк		0.0000000464		6
бвл		0.0000000232		3
бвр		0.0000000464		6
бвс		0.0000003948		51
бвск		0.0000000232		3
бвт		0.0000002632		34
бвшд		0.0000000387		5
бг		0.0000346474		4476
бгд		0.0000001858		24
бгкп		0.0000000232		3
бгл		0.0000028718		371
бгр		0.0000015404		199
бгс		0.0000000232		3
бгт		0.0000000774		10
бд		0.0001265916		16354
бдд		0.0000060919		787
бдж		0.0000000310		4
бдк		0.0000000310		4
бдн		0.0000000387		5
бдп		0.0000000232		3
бдпс		0.0000000232		3
бдр		0.0000013933		180
бдт		0.0000018965		245
бдь		0.0000000310		4
бж		0.0001483507		19165
бжзц		0.0000000310		4
бжрк		0.0000000387		5
бз		0.0000588604		7604
бзв		0.0000021210		274
бзд		0.0000005960		77
бзк		0.0000001548		20
бзн		0.0000000232		3
бзр		0.0000000232		3
бй		0.0000000232		3
бк		0.0009212219		119010
бкд		0.0000002709		35
бкз		0.0000000619		8
бкл		0.0000039013		504
бкм		0.0000000697		9
бкн		0.0000014630		189
бкп		0.0000002090		27
бкр		0.0000022138		286
бкт		0.0000000774		10
бкх		0.0000000542		7
бл		0.0080355152		1038085
блв		0.0000000774		10
блг		0.0000000542		7
блд		0.0000006425		83
блдр		0.0000000929		12
блз		0.0000000387		5
блздр		0.0000001006		13
блк		0.0000005341		69
блльш		0.0000000464		6
блм		0.0000000232		3
блп		0.0000001006		13
блпк		0.0000000542		7
блпл		0.0000000232		3
блпр		0.0000001393		18
блр		0.0000001006		13
блс		0.0000008205		106
блстр		0.0000002167		28
блф		0.0000000464		6
бль		0.0000832591		10756
бльв		0.0000000387		5
бльд		0.0000004877		63
бльт		0.0000002477		32
бльш		0.0000000232		3
бм		0.0003435405		44381
бмв		0.0000041103		531
бмд		0.0000001316		17
бмз		0.0000000387		5
бмк		0.0000003716		48
бмп		0.0000025622		331
бмрт		0.0000000387		5
бмс		0.0000000310		4
бмтв		0.0000000232		3
бмш		0.0000001084		14
бн		0.0030786585		397723
бнд		0.0000000464		6
бнн		0.0000000310		4
бнф		0.0000002477		32
бнх		0.0000000542		7
бп		0.0000020435		264
бпк		0.0000001935		25
бпл		0.0000001626		21
бпр		0.0000008128		105
бпс		0.0000000542		7
бпск		0.0000000619		8
бпт		0.0000000387		5
бпф		0.0000000232		3
бр		0.0106062748		1370194
брдз		0.0000000542		7
брдм		0.0000000851		11
брж		0.0000004722		61
брк		0.0000000232		3
брлс		0.0000001161		15
брм		0.0000000697		9
брмп		0.0000000464		6
брн		0.0000007276		94
брпл		0.0000000310		4
брр		0.0000025544		330
бррр		0.0000006425		83
брррр		0.0000000774		10
брс		0.0000000232		3
брсд		0.0000000929		12
брск		0.0000000464		6
брт		0.0000000619		8
бртбр		0.0000000464		6
бртд		0.0000000851		11
брчк		0.0000000387		5
бръ		0.0000000310		4
брь		0.0000400891		5179
брьск		0.0000420011		5426
брьскг		0.0000000232		3
бс		0.0004160322		53746
бсб		0.0000018191		235
бсв		0.0000001626		21
бсг		0.0000000619		8
бсд		0.0000002709		35
бсдг		0.0000000387		5
бсдп		0.0000000464		6
бсз		0.0000000232		3
бск		0.0000554854		7168
бсл		0.0000997313		12884
бсм		0.0000011224		145
бсн		0.0000000851		11
бсп		0.0000000851		11
бср		0.0000001780		23
бссн		0.0000000232		3
бсср		0.0000006580		85
бст		0.0004003573		51721
бств		0.0008419493		108769
бстг		0.0000000232		3
бстр		0.0000613374		7924
бсц		0.0000016178		209
бсч		0.0000028099		363
бт		0.0000649678		8393
бтбр		0.0000000387		5
бтв		0.0000000851		11
бтд		0.0000000697		9
бтк		0.0000000387		5
бтм		0.0000000851		11
бтр		0.0000069744		901
бтрз		0.0000000232		3
бтс		0.0000001626		21
бтск		0.0000001239		16
бть		0.0000000464		6
бф		0.0000034911		451
бфл		0.0000001393		18
бфпг		0.0000001084		14
бх		0.0007589689		98049
бхв		0.0000182758		2361
бхл		0.0000000929		12
бхсс		0.0000009057		117
бхф		0.0000000387		5
бц		0.0000486349		6283
бцбк		0.0000001239		16
бцвм		0.0000000542		7
бцж		0.0000000697		9
бцз		0.0000000697		9
бч		0.0000803176		10376
бчж		0.0000000232		3
бчн		0.0000001084		14
бш		0.0001251982		16174
бшк		0.0000001626		21
бшл		0.0000026860		347
бшм		0.0000000929		12
бшт		0.0000003019		39
бщ		0.0028380231		366636
бщн		0.0000252579		3263
бъ		0.0015940135		205926
бълг		0.0000000542		7
бь		0.0003304974		42696
бьр		0.0000000310		4
бьс		0.0000008128		105
бьт		0.0000013237		171
бьш		0.0000001626		21
вб		0.0000526678		6804
вбб		0.0000002013		26
