бб		0.0000029989		106
ббб		0.0000001415		5
ббв		0.0000002263		8
ббк		0.0000000849		3
ббм		0.0000005658		20
ббп		0.0000000849		3
бв		0.0000026877		95
бвб		0.0000001132		4
бвк		0.0000001697		6
бвл		0.0000000849		3
бвс		0.0000014429		51
бвшд		0.0000001415		5
бг		0.0000044983		159
бгд		0.0000006790		24
бгкп		0.0000000849		3
бгс		0.0000000849		3
бгт		0.0000001415		5
бд		0.0000994157		3514
бдк		0.0000001132		4
бдн		0.0000001415		5
бдп		0.0000000849		3
бдр		0.0000001132		4
бдт		0.0000069314		245
бж		0.0000055734		197
бжрк		0.0000001415		5
бз		0.0000086571		306
бзд		0.0000016409		58
бзк		0.0000005658		20
бзн		0.0000000849		3
бзр		0.0000000849		3
бй		0.0000000849		3
бк		0.0000067899		240
бкд		0.0000009902		35
бкз		0.0000002263		8
бкм		0.0000002546		9
бкн		0.0000001132		4
бкп		0.0000007639		27
бкт		0.0000002829		10
бкх		0.0000001980		7
бл		0.0105036592		371268
блг		0.0000000849		3
блльш		0.0000001697		6
блм		0.0000000849		3
блпк		0.0000001980		7
бм		0.0000028008		99
бмв		0.0000150227		531
бмд		0.0000004810		17
бмз		0.0000001415		5
бмк		0.0000013580		48
бмп		0.0000089966		318
бмрт		0.0000001415		5
бмс		0.0000001132		4
бмтв		0.0000000849		3
бмш		0.0000003961		14
бн		0.0000011034		39
бнд		0.0000001697		6
бнф		0.0000009053		32
бнх		0.0000001980		7
бп		0.0000033950		120
бпк		0.0000007073		25
бпл		0.0000005941		21
бпс		0.0000001132		4
бпск		0.0000002263		8
бпт		0.0000001415		5
бпф		0.0000000849		3
бр		0.0102026962		360630
брдз		0.0000001980		7
брдм		0.0000003112		11
брж		0.0000007356		26
брлс		0.0000004244		15
брм		0.0000002546		9
брн		0.0000025462		90
брпл		0.0000001132		4
брр		0.0000042720		151
бррр		0.0000023482		83
брррр		0.0000002829		10
брс		0.0000000849		3
брсд		0.0000003395		12
брт		0.0000002263		8
бртбр		0.0000001697		6
бртд		0.0000003112		11
брчк		0.0000001415		5
бс		0.0000070162		248
бсд		0.0000007073		25
бсдг		0.0000001415		5
бсдп		0.0000001697		6
бск		0.0000002263		8
